Case Number,Date,Primary Type,Location Description,Arrest,Domestic,District,Ward
JA140401,01/31/2017 01:30:00 PM,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,25,29
JA140400,02/02/2017 21:00,BATTERY,SIDEWALK,FALSE,FALSE,25,30
JA140384,02/01/2017 18:00,THEFT,STREET,FALSE,FALSE,4,8
JA140435,02/03/2017 15:15,DECEPTIVE PRACTICE,TAXICAB,FALSE,FALSE,11,27
JA140148,02/03/2017 10:00,NARCOTICS,APARTMENT,TRUE,FALSE,6,21
JA140314,01/19/2017 09:00:00 AM,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,14,32
JA140436,02/03/2017 07:00,THEFT,STREET,FALSE,FALSE,1,2
JA139530,01/31/2017 04:30:00 AM,BATTERY,APARTMENT,FALSE,TRUE,14,26
JA139551,02/02/2017 07:55,BURGLARY,APARTMENT,FALSE,FALSE,14,1
JA140334,02/02/2017 20:30,THEFT,OTHER,FALSE,FALSE,25,30
JA140424,02/03/2017 15:00,BATTERY,SIDEWALK,FALSE,TRUE,5,9
JA140444,02/02/2017 19:30,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,22,21
JA140392,02/03/2017 14:17,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,24,50
JA140461,02/02/2017 12:00,THEFT,STREET,FALSE,FALSE,25,31
JA140365,02/03/2017 14:15,ROBBERY,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,18,27
JA140407,02/03/2017 14:51,THEFT,GROCERY FOOD STORE,TRUE,FALSE,2,4
JA140385,02/03/2017 14:25,ROBBERY,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,24,49
JA140232,02/03/2017 11:40,BURGLARY,RESIDENCE-GARAGE,FALSE,FALSE,5,9
JA140455,02/03/2017 15:06,OTHER OFFENSE,STREET,TRUE,FALSE,7,15
JA139980,02/03/2017 07:27,MOTOR VEHICLE THEFT,ALLEY,FALSE,FALSE,11,24
JA140484,02/02/2017 18:45,THEFT,STREET,FALSE,FALSE,19,47
JA140479,02/03/2017 06:00,THEFT,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,18,42
JA140499,02/03/2017 14:00,THEFT,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,16,41
